thug_gc_cheat_unlock_pedgroup3: 0x59966F05,0xCFE9F623
thug_gc_cheat_unlock_pedgroup4: 0xEE6CA9B5,0x6F46CF22
thug_gc_cheat_unlock_pedgroup5: 0xC2BEBF2F,0xE08FCA23
thug_gc_cheat_unlock_pedgroup6: 0x17777953,0xFA6A11D5
thug_gc_cheat_unlock_pedgroup7: 0x9AC1A4F5,0x93C1EB20
thug_gc_cheat_unlock_pedgroup8: 0x5F501EE4,0x0C5A7B51
thug_gc_cheat_unlock_pedgroup9: 0xBFFB415A,0x96D388ED
thug_gc_cheat_select_shift: 0xCFEEB506,0xE8D77414
thug_gc_unlock_all_cheat_codes: 0xAD428E60,0x575AAE9E
thug_gc_unlock_all_sponsors: 0x841F4641,0xB99CA9CC
thug_gc_cheat_unlockmovies: 0x15A7D966,0x22292E40
thug_gc_unlock_all_cutscenes: 0xD351F327,0x8A60D3F0
thug_gc_cheat_reallygivelevels: 0x70DBFDA8,0x20FA3B83
thug_gc_cheat_give_im: 0xE14DC432,0xEB87114C
thug_gc_cheat_give_kiss: 0xDC099837,0xE9C85125
thug_gc_cheat_give_thud: 0x9EF68E08,0x25A27CC6
thug_gc_unlock_all_cheats: 0x63D78E87,0xE6B86FBB
thug_ps2_cheat_unlock_always_special: 0x9E86D964,0x218AFADA
thug_ps2_cheat_unlock_perfect_rail: 0xF99E2137,0xE59A2F8D
thug_ps2_cheat_unlock_perfect_skitch: 0x84B498CC,0x6F3D9741
thug_ps2_cheat_unlock_perfect_manual: 0xDA901B61,0x75E1254D
thug_ps2_cheat_unlock_moon_grav: 0x82B1AA54,0xE1C2706C
thug_ps2_cheat_unlock_pedgroup1: 0x524E35D9,0xBF261062
thug_ps2_cheat_unlock_pedgroup2: 0xC4B5D992,0xD951C8C2
thug_ps2_cheat_unlock_pedgroup3: 0x59966F05,0xCFE9F623
thug_ps2_cheat_unlock_pedgroup4: 0xEE6CA9B5,0x6F46CF22
thug_ps2_cheat_unlock_pedgroup5: 0xC2BEBF2F,0xE08FCA23
thug_ps2_cheat_unlock_pedgroup6: 0x17777953,0xFA6A11D5
thug_ps2_cheat_unlock_pedgroup7: 0x9AC1A4F5,0x93C1EB20
thug_ps2_cheat_unlock_pedgroup8: 0x5F501EE4,0x0C5A7B51
thug_ps2_cheat_unlock_pedgroup9: 0xBFFB415A,0x96D388ED
thug_ps2_cheat_select_shift: 0xCFEEB506,0xE8D77414
thug_ps2_unlock_all_cheat_codes: 0x0BF831FA,0x4DAA2B03
thug_ps2_unlock_all_sponsors: 0xF3F47424,0xB97919F2
thug_ps2_cheat_unlockmovies: 0x5A4B0589,0x42E204D8
thug_ps2_unlock_all_cutscenes: 0xCC7336B8,0x5CA71BBB
